organization_group_id,organization_group_name,petitioner_company_id,petitioner_company_name,petitioner_company_of_primary_beneficiary,beneficiary_id,fn_case_id,beneficiary_type,beneficiary_record_opened_date,beneficiary_status,beneficiary_record_retired_date,beneficiary_last_name,beneficiary_first_name,beneficiary_full_name,primary_beneficiary_id,primary_beneficiary_last_name,primary_beneficiary_first_name,relation,gender,date_of_birth,country_of_birth,country_of_citizenship,alien_number,date_of_last_entry_into_the_us,i94_number,i94_status,i94_valid_from,i94_exp_date,current_status,current_status_exp_date,i797_valid_from,i797_exp_date,final_niv_hl_status_valid_from,final_niv_maxout_date,i129s_exp_date,ped_petition_end_date,ead_type,ead_exp_date,ap_exp_date,ds2019_valid_from,ds2019_exp_date,re_entry_permit_exp_date,green_card_exp_date,passport_number,passport_issuing_country,passport_valid_from,passport_exp_date,visa_type,visa_issue_date,visa_exp_date,visa_priority_green_card_method,primary_visa_priority_date,primary_visa_priority_category,primary_visa_country_of_chargeability,visa_priority_note,track_filed,green_card_method,employee_id,work_email_id,current_employer,management_info_employee_id,management_info_department,management_info_dept_group,management_info_dept_number,business_unit_code,hr_info_client_billing_code,job_title,job_location_street,job_location_city,job_location_state,hire_date,management_info_manager,management_info_manager_email,management_info_second_level_manager,management_info_second_level_manager_email,management_info_partner_name,management_info_partner_email,management_info_cost_center,management_info_cost_center_number,management_info_client_billing_code,management_info_business_unit_code,management_info_job_title,management_info_job_status,management_info_job_code,management_info_job_start_date,management_info_job_end_date,management_info_work_address,management_info_job_location_city,management_info_job_location_state
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626038459,415989,Primary,1/30/2016,Active,0100-01-01,LN 5,FN 5,"LN 5, FN 5",,,,,M,1/5/1978,India,India,,12/15/2019,123456789A1,H-1B,12/15/2019,12/2/2025,H-1B,12/2/2025,0100-01-01,12/2/2025,12/2/2012,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,A123456,India,1/1/2017,1/1/2027,,11/26/2019,12/2/2022,AOS,2/27/2017,Emp: 2nd,India,Charter I-140 [10.13.21 KAP],Track No Filed,AOS,1010101,test@test.com,"Charter Communications, Inc.",1010101,Charter,C-Ops,,Cable Ops,,Test Title 1,100 Test Drive,Atlanta,GA,9/3/2014,John Doe,,John Doe,,,,,,,Cable Ops,Test Title 1,,,9/3/2014,0100-01-01,"100 Test Drive, Atlanta, GA 30303",Atlanta,GA
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626038569,416054,Primary,1/30/2016,Active,0100-01-01,LN 9,FN 9,"LN 9, FN 9",,,,,M,1/9/1978,India,India,123456789,3/27/2018,123456789A1,H-1B,3/27/2018,9/28/2023,H-1B,9/28/2023,0100-01-01,9/28/2023,2/13/2011,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,A123456,India,0100-01-01,1/1/2027,H-1B,3/16/2018,9/28/2020,AOS,5/6/2016,Emp: 3rd,India,Charter I-140 [10.13.21 KAP],Track No Filed,AOS,1010101,test@test.com,"Charter Communications, Inc.",1010101,Charter,C-Ops,,Cable Ops,,Test Title 1,100 Test Drive,Atlanta,GA,11/30/2015,John Doe,,John Doe,,,,12345,,,Cable Ops,Test Title 1,,,11/30/2015,0100-01-01,"100 Test Drive, Atlanta, GA 30303",Atlanta,GA
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626041695,416373,Primary,1/30/2016,Active,0100-01-01,LN 12,FN 12,"LN 12, FN 12",,,,,F,1/12/1978,India,India,123456789,6/28/2022,123456789A1,H-1B/DA,6/28/2022,5/31/2023,H-1B,5/31/2023,0100-01-01,5/31/2023,0100-01-01,4/4/4000,0100-01-01,0100-01-01,Based on AOS,1/9/2024,1/9/2024,0100-01-01,0100-01-01,0100-01-01,0100-01-01,A123456,India,1/1/2017,1/1/2027,,0100-01-01,0100-01-01,AOS,9/17/2014,Emp: 3rd,India,Has Charter I-140 approval. Filed Downgrade 10/2020,Track Filed,AOS,1010101,test@test.com,"Charter Communications, Inc.",1010101,Charter,C-Ops,,Cable Ops,,Test Title 1,,,,5/26/2015,John Doe,,John Doe,,,,,,,Cable Ops,Test Title 1,,,5/26/2015,0100-01-01,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626041932,416071,Primary,1/30/2016,Active,0100-01-01,LN 15,FN 15,"LN 15, FN 15",,,,,M,1/15/1978,India,India,123456789,11/12/2021,123456789A1,H-1B,11/12/2021,5/30/2025,H-1B,5/30/2025,0100-01-01,5/30/2025,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,A123456,India,1/1/2017,1/1/2027,,10/8/2021,8/14/2024,AOS,3/28/2019,Emp: 2nd,India,Charter I-140 [10.14.21 KAP],Track No Filed,AOS,1010101,test@test.com,"Charter Communications, Inc.",1010101,Charter,C-Ops,,Cable Ops,,Test Title 1,100 Test Drive,Atlanta,GA,12/28/2015,John Doe,,John Doe,,,,,,,Cable Ops,Test Title 1,,,12/28/2015,0100-01-01,"100 Test Drive, Atlanta, GA 30303",Atlanta,
,,625523852,Dependent,"Charter Communications, Inc.",626042401,415989,Dependent,1/30/2016,Active,0100-01-01,LN 21,FN 21,"LN 21, FN 21",626038459,,,Spouse,F,1/21/1978,India,India,123456789,2/17/2020,123456789A1,H-4,2/17/2020,12/12/2022,H-4,12/2/2022,0100-01-01,12/2/2022,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,12/2/2022,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,0100-01-01,1/1/2027,,11/26/2019,12/2/2022,AOS,0100-01-01,,India,,No Track No Filed,AOS,,test@test.com,Dependent,,,,,,,,,,,0100-01-01,,,,,,,,,,,,,,0100-01-01,0100-01-01,,,
,,625523852,Dependent,"Charter Communications, Inc.",626042442,416373,Dependent,1/30/2016,Active,0100-01-01,LN 26,FN 26,"LN 26, FN 26",626041695,,,Spouse,M,1/26/1978,India,India,123456789,9/4/2012,123456789A1,H-4,9/4/2012,5/31/2023,H-4,5/31/2023,0100-01-01,5/31/2023,0100-01-01,0100-01-01,0100-01-01,0100-01-01,Based on AOS,1/10/2024,1/10/2024,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,India,0100-01-01,1/1/2027,,0100-01-01,0100-01-01,AOS,10/29/2020,,India,Spouse filed Downgrade of I-140 10/2020.,No Track No Filed,AOS,,test@test.com,Dependent,,,,,,,,,,,0100-01-01,,,,,,,,,,,,,,0100-01-01,0100-01-01,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626079120,417321,Primary,4/14/2016,Active,0100-01-01,LN 39,FN 39,"LN 39, FN 39",,,,,F,2/8/1978,India,India,,9/2/2017,123456789A1,H-1B,9/2/2017,12/31/2022,H-1B,12/31/2022,0100-01-01,12/31/2022,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,A123456,India,1/1/2017,1/1/2027,,8/28/2017,12/31/2018,AOS,9/19/2017,Emp: 2nd,India,Charter I-140 [10.13.21 KAP],Track No Filed,AOS,1010101,test@test.com,"Charter Communications, Inc.",1010101,Charter,C-Ops,,Cable Ops,,Test Title 1,,,,6/9/2014,John Doe,,John Doe,,,,,,,Cable Ops,Test Title 1,,,6/9/2014,0100-01-01,,,
,,625523852,Dependent,"Charter Communications, Inc.",626079429,417069,Dependent,4/20/2016,Active,0100-01-01,LN 40,FN 40,"LN 40, FN 40",626079034,,,Spouse,M,2/9/1978,India,India,,12/14/2021,123456789A1,H-4,12/14/2021,12/11/2024,H-4,12/11/2024,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,12/31/2021,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,India,0100-01-01,1/1/2027,,4/26/2019,12/31/2021,AOS,0100-01-01,,India,,No Track No Filed,AOS,,test@test.com,Dependent,,,,,,,,,,,0100-01-01,,,,,,,,,,,,,,0100-01-01,0100-01-01,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626080418,417183,Primary,5/10/2016,Active,0100-01-01,LN 47,FN 47,"LN 47, FN 47",,,,,M,2/16/1978,India,India,123456789,12/24/2021,123456789A1,H-1B,12/24/2021,5/31/2025,H-1B,5/31/2025,0100-01-01,5/31/2025,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,A123456,India,1/1/2017,1/1/2027,,1/27/2020,5/31/2022,AOS,7/17/2014,Emp: 2nd,India,I-140 Prior ER; Charter certified PERM 3/22/21 [5.1.22 MMD]; FN Hold on AOS 6/28,Track No Filed,AOS,1010101,test@test.com,"Charter Communications, Inc.",1010101,Charter,C-Ops,,Cable Ops,,Test Title 1,100 Test Drive,,,7/18/2016,John Doe,,John Doe,,,,,,,Cable Ops,Test Title 1,,,7/18/2016,0100-01-01,"100 Test Drive, Atlanta, GA 30303",,
,,625523852,Dependent,"Charter Communications, Inc.",626090119,417183,Dependent,5/16/2016,Active,0100-01-01,LN 49,FN 49,"LN 49, FN 49",626080418,,,Spouse,F,2/18/1978,India,India,123456789,12/31/2021,123456789A1,H-4,12/31/2021,5/31/2025,H-4,5/31/2025,0100-01-01,5/31/2025,0100-01-01,0100-01-01,0100-01-01,0100-01-01,C26 (H-4 EAD),5/31/2022,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,0100-01-01,1/1/2027,,1/27/2020,5/31/2022,AOS,0100-01-01,,India,,No Track No Filed,AOS,,test@test.com,Dependent,,,,,,,,,,,0100-01-01,,,,,,,,,,,,,,0100-01-01,0100-01-01,,,
