organization_group_id,organization_group_name,petitioner_id,petitioner_name,petitioner_of_primary_beneficiary,beneficiary_id,fn_case_id,beneficiary_type,beneficiary_record_opened_date,beneficiary_status,beneficiary_retired_date,beneficiary_last_name,beneficiary_first_name,full_name,primary_fnl_id,primary_last_name,primary_first_name,primary_full_name,relationship,i94_status,i94_expiration,current_status,current_status_expiration,process_date_opened,process_id,process_petition_id,process_type,process_reference,current_process,current_process_type,filed_date,receipt_number,receipt_date,rfe_received,rfe_due_date,rfe_docs_requested,rfe_docs_received,rfe_response_submitted,audit_notice_received,audit_response_sent_to_dol,process_status,final_action,final_action_date,last_process_activity,last_process_activity_date,days_since_last_activity,next_unfinished_reminder_subject,next_unfinished_reminder_expiry,summary_case_disposition,approval_date,date_status_valid_from,date_status_valid_to,date_closed,priority_date,visa_preference_category,visa_priority_country,partner_id,partner_last_name,partner_first_name,associate_id,associate_last_name,associate_first_name,supervisory_paralegal_id,supervisory_paralegal_last_name,supervisory_paralegal_first_name,paralegal_id,paralegal_last_name,paralegal_first_name,account_manager_id,account_manager_last_name,account_manager_first_name,special_instruction_flag,special_instruction_info,hr_instruction_flag,client_billing_code,online_intake_date,questionnaire_sent_to_manager,questionnaires_sent_to_fn,follow_up_with_fn_for_requested_information,questionnaire_completed_and_returned_by_manager,questionnaire_completed_and_returned_by_fn,employer_submission_questionnaire_completed,all_petitioning_company_info_received,all_fn_docs_received,fn_completed_questionnaires_and_acknowledgement,fn_questionnaires_completed,lca_filed,lca_case_number,lca_certified,forms_and_documentation_prepped,forms_and_documentation_submitted_for_signature,signed_forms_and_letter_received,date_aos_forms_sent_for_signature,date_signed_aos_forms_received,target_file_date,petition_application_filed,application_filed_with_cis,petition_filed_with_cis,form_i129_filed_with_cis,aos_application_filed,tn_packet_sent_to_fn_for_poe_processing,appeal_motion_due_date,appeal_motion_filed,consular_interview_date,supplemental_brief_docs_filed,docket_date_balca,withdrawal_request_sent_to_uscis,withdrawal_request_confirmed_by_dol_uscis,approval_package_sent,h1b_registration_submitted,h1b_registration_result,h1b_cap_registration_selected,h1b_cap_registration_result,i907_filed_upgraded_to_prem_processing,premium_processing_fee_received_from_fn,receipt_date,i485_receipt_date,i485j_portability_receipt_date,i131_receipt_date,ap_receipt_notice_received,ead_receipt_notice_received,petitioning_job_title,petitioning_job_location,perm_memo_sent_to_employer,approval_of_perm_memo_received,employee_work_experience_chart_sent,employee_work_experience_chart_received,employment_verification_letters_sent_to_employee,signed_employment_verification_letters_received,prevailing_wage_determination_request_submitted_to_dol,prevailing_wage_determination_issued_by_dol,pwd_expiration_date,recruitment_instructions_sent_to_company,job_order_placed_with_swa,notice_of_filing_posted,intranet_notice_of_filing_posted,notice_of_filing_removed_signed,intranet_notice_of_filing_removed,_1st_sunday_ad_placed,_2nd_sunday_ad_placed,_1st_additional_recruitment_step_placed,_2nd_additional_recruitment_step_placed,_3rd_additional_recruitment_step_placed,dated_copies_of_all_recruitment_received,completed_evaluation_questionnaires_and_resumes_received,recruitment_report_sent_to_company,recruitment_report_received,form_9089_sent_to_fn_and_employer,edits_to_form_9089_received_from_fn_and_employer,form_9089_submitted_to_dol,date_labor_certification_expires,input_call_conducted,input_statement_received,case_strategy_and_letters_plan_sent,long_letter_sent_to_fn,short_letters_sent_to_fn,cgfns_visa_screen_received,immigrant_visa_fee_bill_received_from_nvc,immigrant_visa_fee_paid_to_nvc,ds_260_ready_for_review_or_ds_260_prepared_by_fn,ds_260_submitted_online,supporting_documents_sent_to_nvc,case_transferred_to_consulate,appointment_packet_received_from_nvc,consular_processing_interview_date,fn_prepped_for_interview,immigrant_visa_issued,date_immigrant_visa_expires,fn_admitted_as_lpr,alien_registration_card_received,date_lpr_status_valid_from,date_lpr_status_valid_to
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626038459,415989,Primary,1/30/2016,Active,0100-01-01,LN 5,FN 5,"LN 5, FN 5",,,,,,H-1B,12/2/2025,H-1B,12/2/2025,8/5/2022,626521835,100003034,H-1B Professional,Extension,TRUE,H-1B Professional,9/6/2022,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Closed,Granted,9/15/2022,Date Status Valid To,12/2/2025,-1146,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,9/15/2022,12/3/2022,12/2/2025,9/23/2022,2/27/2017,Emp: 2nd,India,625025245,Doe,John,625056646,Doe,John,625071186,Doe,John,625028644,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,8/5/2022,,8/5/2022,0100-01-01,,,,8/9/2022,8/9/2022,8/9/2022,,8/19/2022,I-200-22231-427807,8/26/2022,8/26/2022,8/30/2022,8/30/2022,,,9/20/2022,,,9/6/2022,,,,,,0100-01-01,,,0100-01-01,0100-01-01,9/23/2022,,,,,9/7/2022,0100-01-01,9/7/2022,,,,,,Test Title 1,"100 Test Drive, Atlanta GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626038569,416054,Primary,1/30/2016,Active,0100-01-01,LN 9,FN 9,"LN 9, FN 9",,,,,,H-1B,9/28/2023,H-1B,9/28/2023,3/14/2022,626493856,100003008,Labor Cert PERM,Please Select,TRUE,Labor Cert PERM,0100-01-01,,,,,,,,0100-01-01,0100-01-01,Open,,0100-01-01,Signed Employment Verification Letters received,9/8/2022,35,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,,,0100-01-01,5/6/2016,Emp: 3rd,India,625025245,Doe,John,625025245,Doe,John,625071186,Doe,John,625071186,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,3/14/2022,3/1/2022,3/14/2022,0100-01-01,3/7/2022,4/4/2022,0100-01-01,,,,,,,,,,,,,0100-01-01,,,,,,,,,,,,,,,,,,,,0100-01-01,,,,,,,Test Title 1,"100 Test Drive, Atlanta GA",5/4/2022,6/27/2022,7/13/2022,7/26/2022,8/15/2022,9/8/2022,8/15/2022,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,,,,,,,,,,,,,,,,,,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626041695,416373,Primary,1/30/2016,Active,0100-01-01,LN 12,FN 12,"LN 12, FN 12",,,,,,H-1B/DA,5/31/2023,H-1B,5/31/2023,10/10/2022,626533636,100003034,H-1B Professional,Extension,TRUE,H-1B Professional,0100-01-01,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Open,,0100-01-01,Online Intake Date,10/10/2022,3,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,0100-01-01,0100-01-01,0100-01-01,9/17/2014,Emp: 3rd,India,625025245,Doe,John,625056646,Doe,John,625071186,Doe,John,625074880,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,10/10/2022,,10/10/2022,0100-01-01,,,,0100-01-01,0100-01-01,0100-01-01,,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,0100-01-01,,,0100-01-01,,,,,,0100-01-01,,,0100-01-01,0100-01-01,0100-01-01,,,,,0100-01-01,0100-01-01,0100-01-01,,,,,,Test Title 1,"100 Test Drive, Atlanta GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626041932,416071,Primary,1/30/2016,Active,0100-01-01,LN 15,FN 15,"LN 15, FN 15",,,,,,H-1B,5/30/2025,H-1B,5/30/2025,3/29/2022,626497452,100003034,H-1B Professional,Amendment (with Extension),TRUE,H-1B Professional,5/23/2022,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Closed,Granted,6/2/2022,Date Status Valid To,5/30/2025,-960,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,6/2/2022,5/31/2022,5/30/2025,6/27/2022,3/28/2019,Emp: 2nd,India,625025245,Doe,John,625025245,Doe,John,625071186,Doe,John,625070923,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,4/6/2022,,4/6/2022,0100-01-01,,,,4/5/2022,4/11/2022,0100-01-01,,5/3/2022,I-200-22123-129527,5/10/2022,5/3/2022,5/17/2022,5/17/2022,,,5/23/2022,,,5/23/2022,,,,,,0100-01-01,,,0100-01-01,0100-01-01,6/24/2022,,,,,0100-01-01,0100-01-01,5/24/2022,,,,,,Test Title 1,"100 Test Drive, Atlanta GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,625523852,Dependent,"Charter Communications, Inc.",626042401,415989,Dependent,1/30/2016,Active,0100-01-01,LN 21,FN 21,"LN 21, FN 21",626038459,,,,Spouse,H-4,12/12/2022,H-4,12/2/2022,8/5/2022,626521838,610004897,I-539 Dependent Application,Extension,TRUE,,9/6/2022,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Closed,Granted,9/15/2022,Date Status Valid To,12/2/2025,-1146,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,9/15/2022,12/3/2022,12/2/2025,9/23/2022,0100-01-01,,India,625025245,Doe,John,625056646,Doe,John,625071186,Doe,John,625028644,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,8/5/2022,,8/5/2022,0100-01-01,,,,,0100-01-01,0100-01-01,,,,,0100-01-01,8/30/2022,0100-01-01,,,0100-01-01,,,9/6/2022,,,,,,0100-01-01,,,,,9/23/2022,,,,,,0100-01-01,9/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,625523852,Dependent,"Charter Communications, Inc.",626042401,415989,Dependent,1/30/2016,Active,0100-01-01,LN 21,FN 21,"LN 21, FN 21",626038459,,,,Spouse,H-4,12/12/2022,H-4,12/2/2022,8/5/2022,626521839,100003020,I-765 EAD,Extension,FALSE,,9/6/2022,,,9/23/2022,12/12/2022,9/23/2022,0100-01-01,0100-01-01,,,Open,,0100-01-01,RFE Due Date,12/12/2022,-60,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,India,625025245,Doe,John,625056646,Doe,John,625071186,Doe,John,625028644,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,8/5/2022,,8/5/2022,0100-01-01,,,,,0100-01-01,0100-01-01,,,,,0100-01-01,0100-01-01,,,,0100-01-01,,9/6/2022,,,,,,,,,,,,0100-01-01,,,,,,0100-01-01,9/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,625523852,Dependent,"Charter Communications, Inc.",626042442,416373,Dependent,1/30/2016,Active,0100-01-01,LN 26,FN 26,"LN 26, FN 26",626041695,,,,Spouse,H-4,5/31/2023,H-4,5/31/2023,10/10/2022,626533637,610004897,I-539 Dependent Application,Extension,TRUE,,0100-01-01,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Open,,0100-01-01,Online Intake Date,10/10/2022,3,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,0100-01-01,0100-01-01,0100-01-01,10/29/2020,,India,625025245,Doe,John,625056646,Doe,John,625071186,Doe,John,625074880,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,10/10/2022,,10/10/2022,0100-01-01,,,,,0100-01-01,0100-01-01,,,,,0100-01-01,0100-01-01,0100-01-01,,,0100-01-01,,,0100-01-01,,,,,,0100-01-01,,,,,0100-01-01,,,,,,0100-01-01,0100-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,625523852,Dependent,"Charter Communications, Inc.",626042442,416373,Dependent,1/30/2016,Active,0100-01-01,LN 26,FN 26,"LN 26, FN 26",626041695,,,,Spouse,H-4,5/31/2023,H-4,5/31/2023,10/10/2022,626533641,100003020,I-765 EAD,Extension,FALSE,,0100-01-01,,,,,,,,,,Open,,0100-01-01,,10/10/2022,3,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,,,0100-01-01,10/29/2020,,India,625025245,Doe,John,625056646,Doe,John,625071186,Doe,John,625074880,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000590,Charter Group of Companies,625365123,"Charter Communications, Inc.",,626079120,417321,Primary,4/14/2016,Active,0100-01-01,LN 39,FN 39,"LN 39, FN 39",,,,,,H-1B,12/31/2022,H-1B,12/31/2022,8/9/2022,626522378,100003034,H-1B Professional,Extension,TRUE,H-1B Professional,10/4/2022,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Open,,0100-01-01,Petition Filed with CIS,10/4/2022,9,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,0100-01-01,0100-01-01,0100-01-01,9/19/2017,Emp: 2nd,INDIA,625025245,Doe,John,625074433,Doe,John,625074433,Doe,John,625070923,Doe,John,625055857,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,8/9/2022,,8/9/2022,0100-01-01,,,,8/3/2022,8/9/2022,8/9/2022,,9/26/2022,I-200-22269-494933,10/3/2022,9/29/2022,10/3/2022,10/3/2022,,,10/4/2022,,,10/4/2022,,,,,,0100-01-01,,,0100-01-01,0100-01-01,0100-01-01,,,,,0100-01-01,0100-01-01,0100-01-01,,,,,,Test Title 1,"100 Test Drive, Atlanta GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,625523852,Dependent,"Charter Communications, Inc.",626079429,417069,Dependent,4/20/2016,Active,0100-01-01,LN 40,FN 40,"LN 40, FN 40",626079034,,,,Spouse,H-4,12/11/2024,H-4,12/11/2024,1/25/2022,626482776,100003020,I-765 EAD,Extension,TRUE,I-765 EAD,3/30/2022,,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,,Open,Granted,0100-01-01,Receipt Date,3/31/2022,196,,,02/22/2022: Will be out of country during April; file H-1B AFTER he returns - rl,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,,INDIA,625025245,Doe,John,625025245,Doe,John,625071186,Doe,John,625070923,Doe,John,625071186,Doe,John,EVL received from FN 8/9/2022; ZXH will draft LCA [zxh 9/27],"Billings: $100 as of 10/12/2022
Collections: $50.00 as of 10/12/2022
Trust: no data as of 10/12/2022
WIP: $0.00 as of 10/12/2022
Details are not shown. Only time records found in 10/12/2022 export
Last Trust: no data as of 10/12/2022
Write-Offs: $0.00 as of 10/12/2022",,,1/25/2022,,1/25/2022,0100-01-01,,,,,0100-01-01,0100-01-01,,,,,3/8/2022,3/23/2022,,,,0100-01-01,,3/30/2022,,,,,,,,,,,,0100-01-01,,,,,,0100-01-01,3/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
